area_name,tsunami_special_area,expected_shindo,tsunami_arrival_note,power_restore_est,learning_memo,source_note
釧路市,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部は津波避難を優先,内閣府・北海道資料を確認
釧路町,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部は津波避難を優先,内閣府・北海道資料を確認
厚岸町,対象,公式資料確認中,公式資料確認中,公式資料確認中,津波と強い揺れの両方に注意,内閣府・北海道資料を確認
浜中町,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部は高台避難を確認,内閣府・北海道資料を確認
白糠町,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部は津波避難を優先,内閣府・北海道資料を確認
標茶町,対象外,公式資料確認中,対象外または要確認,公式資料確認中,揺れと停電への備えを確認,内閣府・北海道資料を確認
弟子屈町,対象外,公式資料確認中,対象外または要確認,公式資料確認中,揺れと停電への備えを確認,内閣府・北海道資料を確認
鶴居村,対象外,公式資料確認中,対象外または要確認,公式資料確認中,揺れと停電への備えを確認,内閣府・北海道資料を確認
根室市,対象,公式資料確認中,公式資料確認中,公式資料確認中,津波避難場所を事前確認,内閣府・北海道資料を確認
別海町,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部と内陸部で避難行動を分けて考える,内閣府・北海道資料を確認
中標津町,対象外,公式資料確認中,対象外または要確認,公式資料確認中,揺れと停電への備えを確認,内閣府・北海道資料を確認
標津町,対象,公式資料確認中,公式資料確認中,公式資料確認中,沿岸部は津波避難を優先,内閣府・北海道資料を確認
羅臼町,対象,公式資料確認中,公式資料確認中,公式資料確認中,海岸近くではすぐ高台へ,内閣府・北海道資料を確認
